,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,tempo,cluster
2170,0.672,0.738,-7.045,0.0506,0.0178,6.75e-05,0.0927,107.938,9
2171,0.514,0.683,-5.099,0.0367,0.0749,2.64e-06,0.392,159.814,7
2172,0.765,0.837,-3.113,0.032,0.00107,1.06e-05,0.0801,122.028,9
2173,0.747,0.716,-2.457,0.075,0.135,0.0,0.251,125.008,12
2174,0.604,0.787,-3.674,0.103,0.0679,0.15,0.127,126.062,3
2175,0.612,0.749,-5.014,0.0446,0.615,0.0,0.167,120.052,15
2176,0.564,0.71,-4.92,0.0461,0.00125,0.0,0.109,91.972,17
2177,0.727,0.937,-2.871,0.286,0.00417,0.0,0.091,132.067,8
2178,0.471,0.924,-3.906,0.0586,0.00301,0.0,0.313,154.961,7
2179,0.663,0.857,-2.16,0.0544,0.0542,0.0,0.144,126.039,3
2180,0.608,0.86,-5.324,0.0554,0.0991,0.0,0.262,127.075,12
2181,0.56,0.872,-4.269,0.14,0.0239,6.98e-06,0.371,126.05,7
2182,0.682,0.471,-9.182,0.0301,0.765,0.0,0.0908,79.907,15
2183,0.717,0.55,-6.019,0.0521,0.0358,0.00196,0.126,96.976,9
2184,0.678,0.918,-4.63,0.0355,0.000417,0.0,0.0744,130.028,3
2185,0.616,0.862,-5.18,0.0973,0.00117,0.0,0.179,127.992,3
2186,0.716,0.821,-3.435,0.0314,0.0558,0.0,0.0844,92.997,9
2187,0.696,0.893,-2.963,0.076,0.0662,0.0,0.473,97.954,12
2188,0.747,0.937,-5.746,0.0453,0.0208,0.0,0.29,103.976,12
2189,0.719,0.847,-6.34,0.0916,0.00201,0.0204,0.221,127.963,12
